0	0.0	0	0.0	0.0
0.01	3.3416833611354946e-07	3.3416875e-07	4.1388645054127454e-13	0.0
0.7400000000000004	0.16427102898872992	0.1642961464515441	2.5117462814194802e-05	2.0733477555656687e-06	1
0.7500000000000004	0.17150003322534957	0.17152575063212686	2.5717406777286955e-05	2.0941854187994657e-06	1
0.7600000000000005	0.17895244099363783	0.17897876786646932	2.6326872831494708e-05	2.1152325057893773e-06	1
0.7700000000000005	0.18663250756983052	0.18665945356160846	2.6945991777937994e-05	2.1364911212407023e-06	1
0.7800000000000005	0.194544530996402	0.1945721058924857	2.757489608368191e-05	2.157963391091755e-06	1
0.7900000000000005	0.20269285251187386	0.20272106623177516	2.821371990130439e-05	2.179651462652643e-06	1
0.8000000000000005	0.21108185698493553	0.21111071958403158	2.8862599096041164e-05	2.2015575047162894e-06	1
0.8100000000000005	0.21971597335294346	0.21974549502420168	2.952167125822025e-05	2.223683708002522e-06	1
0.8200000000000005	0.22859967506481205	0.22862986614054256	3.0191075730517936e-05	2.246032285130317e-06	1
0.8300000000000005	0.23773748052836607	0.23776835148199166	3.0870953625583564e-05	2.268605471061891e-06	1
0.8400000000000005	0.2471339535621837	0.2471655150100328	3.156144784910442e-05	2.291405523185963e-06	1
0.8500000000000005	0.2567937038519821	0.2568259665551037	3.2262703121621605e-05	2.3144347215398042e-06	1
0.8600000000000005	0.26672138741159035	0.2667543622775902	3.297486599984634e-05	2.337695369059034e-06	1
0.8700000000000006	0.2769217070485537	0.2769554051334541	3.369808490044646e-05	2.3611897918551783e-06	1
0.8800000000000006	0.28739941283442016	0.2874338453445403	3.443251012014148e-05	2.384920339548735e-06	1
0.8900000000000006	0.2981593025797502	0.29819448087361067	3.517829386046056e-05	2.4088893851859083e-06	1
0.9000000000000006	0.30920622231390027	0.30924215790415227	3.593559025200088e-05	2.433099325682697e-06	1
0.9100000000000006	0.32054506676963435	0.32058177132500765	3.670455537330142e-05	2.4575525821024513e-06	1
0.9200000000000006	0.3321807798725964	0.3322182652198759	3.7485347279486714e-05	2.482251599877916e-06	1
0.9300000000000006	0.3441183552357101	0.3441566333617333	3.827812602319458e-05	2.5071988490332764e-06	1
0.9400000000000006	0.3563628366585436	0.3564019197122228	3.9083053679167534e-05	2.532396824239669e-06	1
0.9500000000000006	0.368919318631693	0.36895921892606276	3.9900294369732414e-05	2.557848045314781e-06	1
0.9600000000000006	0.381792946846236	0.3818336768605251	4.073001428911427e-05	2.5835550576114308e-06	1
0.9700000000000006	0.394988918708306	0.3950304910900338	4.157238172780575e-05	2.6095204318510312e-06	1
0.9800000000000006	0.40851248385883476	0.4085549114259349	4.242756710015616e-05	2.63574676451217e-06	1
0.9900000000000007	0.42236894469852615	0.42241224044149106	4.3295742964910566e-05	2.662236678385721e-06	1
